"name","country","date","position","streams","artists","genres"
"Why'd You Only Call Me When You're High?","global","2022-09-21",160,994132,"['Arctic Monkeys']","['sheffield indie', 'rock', 'garage rock', 'permanent wave', 'modern rock']"
"Levitating (feat. DaBaby)","global","2022-09-18",123,994120,"['Dua Lipa', 'DaBaby']","['uk pop', 'north carolina hip hop', 'pop', 'dance pop', 'rap', 'trap']"
"Blank Space","global","2022-09-28",142,993983,"['Taylor Swift']","['pop']"
"Perfect","global","2022-10-10",133,993906,"['Ed Sheeran']","['uk pop', 'pop']"
"2 Be Loved (Am I Ready)","global","2022-09-27",142,993824,"['Lizzo']","['pop', 'escape room', 'minnesota hip hop', 'trap queen']"
"Counting Stars","global","2022-10-06",149,993823,"['OneRepublic']","['pop rock', 'pop', 'piano rock']"
"Un Coco","global","2022-09-27",143,993749,"['Bad Bunny']","['reggaeton', 'trap latino']"
"Everybody Wants To Rule The World","global","2022-09-25",122,993678,"['Tears For Fears']","['new romantic', 'permanent wave', 'sophisti-pop', 'new wave pop', 'new wave', 'synthpop']"
"My Universe","global","2022-10-08",159,993372,"['Coldplay', 'BTS']","['k-pop boy group', 'pop', 'permanent wave', 'k-pop']"
"No Role Modelz","global","2022-09-17",157,993349,"['J. Cole']","['hip hop', 'conscious hip hop', 'rap', 'north carolina hip hop']"
"Desesperados","global","2022-10-03",136,993073,"['Rauw Alejandro', 'Chencho Corleone']","['trap latino', 'puerto rican pop']"
"Why'd You Only Call Me When You're High?","global","2022-09-26",139,993047,"['Arctic Monkeys']","['sheffield indie', 'rock', 'garage rock', 'permanent wave', 'modern rock']"
"Bohemian Rhapsody - Remastered 2011","global","2022-09-24",157,993042,"['Queen']","['glam rock', 'rock', 'classic rock']"
"Rock N Roll (feat. Kanye West & Kid Cudi)","global","2022-04-22",120,992967,"['Pusha T', 'Kanye West', 'Kid Cudi']","['hip hop', 'rap', 'chicago rap', 'ohio hip hop', 'trap', 'virginia hip hop', 'southern hip hop', 'pop rap']"
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","global","2022-09-18",124,992913,"['Tainy', 'Bad Bunny', 'Julieta Venegas']","['pop reggaeton', 'latin rock', 'latin hip hop', 'rock en espanol', 'latin pop', 'trap latino', 'latin alternative', 'reggaeton']"
"The Hills","global","2022-09-18",125,992812,"['The Weeknd']","['canadian pop', 'pop', 'canadian contemporary r&b']"
"Levitating (feat. DaBaby)","global","2022-10-10",134,992649,"['Dua Lipa', 'DaBaby']","['uk pop', 'north carolina hip hop', 'pop', 'dance pop', 'rap', 'trap']"
"MAMIII","global","2022-09-19",138,992458,"['Becky G', 'KAROL G']","['rap latina', 'dance pop', 'latin viral pop', 'reggaeton colombiano', 'pop', 'reggaeton']"
"Don’t Blame Me","global","2022-09-23",170,992353,"['Taylor Swift']","['pop']"
"Smells Like Teen Spirit - Remastered","global","2022-09-29",148,992219,"['Nirvana']","['rock', 'alternative rock', 'grunge', 'permanent wave']"
"Smells Like Teen Spirit - Remastered","global","2022-09-16",165,992109,"['Nirvana']","['rock', 'alternative rock', 'grunge', 'permanent wave']"
"Sunflower - Spider-Man: Into the Spider-Verse","global","2022-10-15",165,992108,"['Post Malone', 'Swae Lee']","['melodic rap', 'dfw rap', 'rap', 'trap']"
"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","global","2022-10-03",137,991926,"['The Weeknd', 'Ariana Grande']","['pop', 'canadian pop', 'canadian contemporary r&b', 'dance pop']"
"Blank Space","global","2022-09-26",140,991877,"['Taylor Swift']","['pop']"
"Viva La Vida","global","2022-09-19",140,991834,"['Coldplay']","['pop', 'permanent wave']"
"Un Coco","global","2022-09-28",143,991683,"['Bad Bunny']","['reggaeton', 'trap latino']"
"Don't Start Now","global","2022-09-16",166,991477,"['Dua Lipa']","['pop', 'dance pop', 'uk pop']"
"Something Just Like This","global","2022-09-22",160,991423,"['The Chainsmokers', 'Coldplay']","['dance pop', 'pop dance', 'edm', 'pop', 'permanent wave', 'tropical house', 'electropop']"
"Gospel (with Eminem)","global","2022-02-11",130,991406,"['Dr. Dre', 'Eminem']","['detroit hip hop', 'west coast rap', 'gangster rap', 'g funk', 'rap', 'hip hop']"
"Someone You Loved","global","2022-10-09",112,991394,"['Lewis Capaldi']","['uk pop', 'pop']"
"The Real Slim Shady","global","2022-09-26",142,991331,"['Eminem']","['detroit hip hop', 'rap', 'hip hop']"
"Easy On Me","global","2022-09-18",126,991279,"['Adele']","['pop soul', 'uk pop', 'pop', 'british soul']"
"Everybody Wants To Rule The World","global","2022-09-18",127,991041,"['Tears For Fears']","['new romantic', 'permanent wave', 'sophisti-pop', 'new wave pop', 'new wave', 'synthpop']"
"Sunflower - Spider-Man: Into the Spider-Verse","global","2022-10-13",156,990929,"['Post Malone', 'Swae Lee']","['melodic rap', 'dfw rap', 'rap', 'trap']"
"deja vu","global","2022-09-29",149,990884,"['Olivia Rodrigo']","['pop']"
